Late_delivery_risk,risk_proba,risk_tier,Shipping Mode,Order Region,Category Name
0,0.39561993,LOW,Standard Class,West of USA ,Water Sports
0,0.39489606,LOW,Standard Class,Central America,Camping & Hiking
0,0.3366683,LOW,Standard Class,Northern Europe,Cleats
0,0.45389816,MEDIUM,Same Day,East of USA,Fishing
1,0.45708352,MEDIUM,Same Day,Western Europe,Indoor/Outdoor Games
0,0.2506013,LOW,Standard Class,Caribbean,Camping & Hiking
1,0.9917081,HIGH,First Class,South of  USA ,Fishing
0,0.4018723,LOW,Standard Class,Caribbean,Water Sports
1,0.99114966,HIGH,First Class,West Asia,Fishing
1,0.79689556,HIGH,Second Class,Eastern Asia,Men's Footwear
0,0.36558282,LOW,Standard Class,South Asia,Women's Apparel
1,0.8051563,HIGH,Second Class,Southern Europe,Fishing
0,0.3293045,LOW,Standard Class,West Africa,Fishing
0,0.48018274,MEDIUM,Same Day,East of USA,Cleats
1,0.40479997,LOW,Standard Class,Central America,Electronics
0,0.39422986,LOW,Standard Class,West of USA ,Men's Footwear
1,0.39287576,LOW,Standard Class,Southern Europe,Fishing
1,0.396118,LOW,Standard Class,Western Europe,Indoor/Outdoor Games
1,0.99065197,HIGH,First Class,West of USA ,Men's Footwear
1,0.32469192,LOW,Standard Class,Southern Europe,Shop By Sport
1,0.80449486,HIGH,Second Class,South America,Fishing
1,0.79689556,HIGH,Second Class,South of  USA ,Cleats
1,0.39422986,LOW,Standard Class,West Asia,Water Sports
1,0.79498553,HIGH,Second Class,Central America,Cleats
0,0.3426991,LOW,Standard Class,Central America,Water Sports
1,0.39422986,LOW,Standard Class,South Asia,Women's Apparel
1,0.9911027,HIGH,First Class,Southeast Asia,Men's Footwear
1,0.36356184,LOW,Standard Class,Central America,Women's Apparel
1,0.35832962,LOW,Standard Class,South Asia,Shop By Sport
1,0.7716288,HIGH,Second Class,South America,Men's Footwear
1,0.39267567,LOW,Standard Class,East of USA,Women's Apparel
0,0.40010363,LOW,Standard Class,South Asia,Music
1,0.35847256,LOW,Standard Class,Western Europe,Women's Apparel
1,0.8216572,HIGH,Second Class,West of USA ,Baseball & Softball
1,0.80521023,HIGH,Second Class,Oceania,Men's Footwear
1,0.47433886,MEDIUM,Same Day,Oceania,Pet Supplies
1,0.9911857,HIGH,First Class,Southern Africa,Shop By Sport
1,0.34360486,LOW,Standard Class,Southeast Asia,Water Sports
1,0.78844315,HIGH,Second Class,Western Europe,Fitness Accessories
1,0.9850129,HIGH,First Class,Central Africa,Men's Footwear
1,0.38732252,LOW,Standard Class,Central America,Shop By Sport
1,0.8013363,HIGH,Second Class,Southeast Asia,Cleats
1,0.98367614,HIGH,First Class,Caribbean,Fishing
1,0.8013363,HIGH,Second Class,South Asia,Camping & Hiking
0,0.39377767,LOW,Standard Class,West of USA ,Men's Footwear
0,0.39734456,LOW,Standard Class,Central America,Indoor/Outdoor Games
0,0.42168185,LOW,Standard Class,East of USA,Men's Footwear
